Rank,Player Name,Nationality,Club,Stat,Player Link
3.,Wayne Rooney,England,Retired/Unknown,208,www.premierleague.com/players/2064/player/overview
33.,Cristiano Ronaldo,Portugal,Retired/Unknown,103,www.premierleague.com/players/2522/player/overview
52.,Marcus Rashford,England,Manchester United,83,www.premierleague.com/players/13565/player/overview
88.,Richarlison,Brazil,Tottenham Hotspur,60,www.premierleague.com/players/24630/player/overview
